user_id,date,app_name,category,screen_time_min,launches,interactions,is_productive,weekday,month
1051,2024-01-01 00:00:00.000000000,Camera,Utilities,24.53,2,7,False,Monday,1
1088,2024-01-01 00:43:41.673891297,Chrome,Utilities,19.78,3,2,False,Monday,1
1052,2024-01-01 01:27:23.347782594,Spotify,Entertainment,32.03,1,6,False,Monday,1
1028,2024-01-01 02:11:05.021673891,Google Maps,Utilities,19.1,2,5,False,Monday,1
1034,2024-01-01 02:54:46.695565188,Instagram,Social,25.19,1,5,False,Monday,1
1064,2024-01-01 03:38:28.369456485,Chrome,Utilities,85.15,2,5,False,Monday,1
1063,2024-01-01 04:22:10.043347782,Instagram,Social,4.37,0,5,False,Monday,1
1095,2024-01-01 05:05:51.717239079,Camera,Utilities,57.35,2,5,False,Monday,1
1060,2024-01-01 05:49:33.391130376,Instagram,Social,58.42,3,2,False,Monday,1
1016,2024-01-01 06:33:15.065021673,Snapchat,Social,5.08,0,7,False,Monday,1
1060,2024-01-01 07:16:56.738912970,Instagram,Social,36.16,5,4,False,Monday,1
1044,2024-01-01 08:00:38.412804268,Twitch,Entertainment,6.18,5,7,False,Monday,1
1065,2024-01-01 08:44:20.086695565,Instagram,Social,31.61,5,5,False,Monday,1
1059,2024-01-01 09:28:01.760586862,Snapchat,Social,110.47,5,1,False,Monday,1
1041,2024-01-01 10:11:43.434478159,Netflix,Entertainment,4.1,2,4,False,Monday,1
1079,2024-01-01 10:55:25.108369456,Slack,Productivity,5.97,5,4,True,Monday,1
1087,2024-01-01 11:39:06.782260753,Gmail,Utilities,19.5,4,3,False,Monday,1
1003,2024-01-01 12:22:48.456152050,Google Docs,Productivity,33.26,3,5,True,Monday,1
1041,2024-01-01 13:06:30.130043347,Instagram,Social,13.79,0,1,False,Monday,1
1022,2024-01-01 13:50:11.803934644,Gmail,Utilities,21.07,2,3,False,Monday,1
1093,2024-01-01 14:33:53.477825941,Gmail,Utilities,9.53,3,4,False,Monday,1
1069,2024-01-01 15:17:35.151717239,Snapchat,Social,21.09,2,3,False,Monday,1
1056,2024-01-01 16:01:16.825608536,Slack,Productivity,33.38,4,1,True,Monday,1
1014,2024-01-01 16:44:58.499499833,Twitch,Entertainment,9.63,1,6,False,Monday,1
1019,2024-01-01 17:28:40.173391130,Snapchat,Social,84.67,3,5,False,Monday,1
1027,2024-01-01 18:12:21.847282427,Microsoft Teams,Productivity,54.04,4,6,True,Monday,1
1028,2024-01-01 18:56:03.521173724,Camera,Utilities,12.75,3,4,False,Monday,1
1048,2024-01-01 19:39:45.195065021,Slack,Productivity,6.41,2,6,True,Monday,1
1004,2024-01-01 20:23:26.868956318,YouTube,Entertainment,5.96,3,4,False,Monday,1
1041,2024-01-01 21:07:08.542847615,WhatsApp,Social,57.81,1,5,False,Monday,1
1009,2024-01-01 21:50:50.216738912,Snapchat,Social,8.23,0,10,False,Monday,1
1093,2024-01-01 22:34:31.890630210,Weather,Utilities,0.36,1,6,False,Monday,1
1033,2024-01-01 23:18:13.564521507,Instagram,Social,16.06,4,5,False,Monday,1
1023,2024-01-02 00:01:55.238412804,Spotify,Entertainment,17.65,4,4,False,Tuesday,1
1061,2024-01-02 00:45:36.912304101,YouTube,Entertainment,29.27,3,2,False,Tuesday,1
1049,2024-01-02 01:29:18.586195398,Google Maps,Utilities,49.52,2,2,False,Tuesday,1
1083,2024-01-02 02:13:00.260086695,WhatsApp,Social,20.94,3,6,False,Tuesday,1
1055,2024-01-02 02:56:41.933977992,Slack,Productivity,22.81,2,6,True,Tuesday,1
1027,2024-01-02 03:40:23.607869289,YouTube,Entertainment,3.36,2,5,False,Tuesday,1
1012,2024-01-02 04:24:05.281760586,Camera,Utilities,36.4,3,6,False,Tuesday,1
1054,2024-01-02 05:07:46.955651883,TikTok,Entertainment,2.11,2,2,False,Tuesday,1
1021,2024-01-02 05:51:28.629543181,Google Maps,Utilities,21.12,2,3,False,Tuesday,1
1036,2024-01-02 06:35:10.303434478,Spotify,Entertainment,11.53,2,10,False,Tuesday,1
1085,2024-01-02 07:18:51.977325775,TikTok,Entertainment,13.1,1,5,False,Tuesday,1
1017,2024-01-02 08:02:33.651217072,Chrome,Utilities,110.96,1,3,False,Tuesday,1
1000,2024-01-02 08:46:15.325108369,WhatsApp,Social,13.04,2,6,False,Tuesday,1
1032,2024-01-02 09:29:56.998999666,WhatsApp,Social,17.62,2,2,False,Tuesday,1
1016,2024-01-02 10:13:38.672890963,YouTube,Entertainment,22.13,1,9,False,Tuesday,1
1035,2024-01-02 10:57:20.346782260,TikTok,Entertainment,11.08,4,9,False,Tuesday,1
1059,2024-01-02 11:41:02.020673557,Netflix,Entertainment,7.0,5,10,False,Tuesday,1
1031,2024-01-02 12:24:43.694564854,Chrome,Utilities,12.12,5,5,False,Tuesday,1
1076,2024-01-02 13:08:25.368456152,Gmail,Utilities,3.34,2,3,False,Tuesday,1
1069,2024-01-02 13:52:07.042347449,WhatsApp,Social,30.81,1,9,False,Tuesday,1
1013,2024-01-02 14:35:48.716238746,Snapchat,Social,0.64,2,7,False,Tuesday,1
1080,2024-01-02 15:19:30.390130043,Camera,Utilities,3.68,2,5,False,Tuesday,1
1054,2024-01-02 16:03:12.064021340,Microsoft Teams,Productivity,38.0,2,5,True,Tuesday,1
1088,2024-01-02 16:46:53.737912637,Evernote,Productivity,0.98,1,3,True,Tuesday,1
1035,2024-01-02 17:30:35.411803934,Snapchat,Social,10.6,5,3,False,Tuesday,1
1062,2024-01-02 18:14:17.085695231,Facebook,Social,43.85,1,3,False,Tuesday,1
1019,2024-01-02 18:57:58.759586528,Netflix,Entertainment,32.99,2,4,False,Tuesday,1
1099,2024-01-02 19:41:40.433477825,Netflix,Entertainment,12.09,0,6,False,Tuesday,1
1043,2024-01-02 20:25:22.107369123,Chrome,Utilities,33.17,3,5,False,Tuesday,1
